;Date;Open;High;Low;Close;Adj Close;Volume;Action
153;2020-08-13;1.1796;1.1864;1.1795;1.1794;1.1794;0.0;hold
154;2020-08-14;1.1819;1.1838;1.1785;1.1817;1.1817;0.0;hold
155;2020-08-17;1.185;1.1881;1.183;1.1853;1.1853;0.0;hold
156;2020-08-18;1.1879;1.1965;1.1875;1.1876;1.1876;0.0;hold
157;2020-08-19;1.1947;1.1955;1.1893;1.1948;1.1948;0.0;hold
158;2020-08-20;1.1842;1.1868;1.1807;1.1844;1.1844;0.0;hold
159;2020-08-21;1.1871;1.1886;1.1755;1.1874;1.1874;0.0;hold
160;2020-08-24;1.1799;1.1853;1.1786;1.1798;1.1798;0.0;hold
161;2020-08-25;1.1795;1.1844;1.1785;1.1795;1.1795;0.0;hold
162;2020-08-26;1.1833;1.184;1.1776;1.1835;1.1835;0.0;hold
163;2020-08-27;1.184;1.1899;1.1766;1.1843;1.1843;0.0;hold
164;2020-08-28;1.182;1.192;1.1812;1.182;1.182;0.0;hold
165;2020-08-31;1.1917;1.1964;1.1885;1.1918;1.1918;0.0;hold
166;2020-01-09;1.1939;1.2011;1.1937;1.1939;1.1939;0.0;hold
167;2020-02-09;1.1923;1.1924;1.1824;1.1923;1.1923;0.0;hold
168;2020-03-09;1.1846;1.1848;1.179;1.1847;1.1847;0.0;hold
169;2020-04-09;1.1844;1.1864;1.1782;1.184;1.184;0.0;hold
170;2020-07-09;1.1837;1.1849;1.1814;1.1834;1.1834;0.0;hold
171;2020-08-09;1.1819;1.1829;1.1767;1.1822;1.1822;0.0;hold
172;2020-09-09;1.1769;1.1831;1.1754;1.177;1.177;0.0;hold
173;2020-10-09;1.1806;1.1915;1.1803;1.1806;1.1806;0.0;hold
174;2020-11-09;1.1826;1.1876;1.1826;1.1824;1.1824;0.0;hold
175;2020-09-14;1.1844;1.1888;1.1833;1.1843;1.1843;0.0;hold
176;2020-09-15;1.1867;1.1901;1.1841;1.187;1.187;0.0;hold
177;2020-09-16;1.1843;1.1883;1.1815;1.1844;1.1844;0.0;hold
178;2020-09-17;1.1804;1.183;1.1742;1.1803;1.1803;0.0;hold
179;2020-09-18;1.1853;1.1871;1.1831;1.1848;1.1848;0.0;hold
